win_title,win_class,task_type,remain_interval,idle_interval,day,time
"http://my.xunlei.com/index.htm - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",71.100000,0.000000,2009-06-14,10:09:28
"正在打开 8DBSetup.exe","MozillaDialogClass","Ohters",2.600000,0.000000,2009-06-14,10:09:31
"8点报,报纸,中国报纸,全国报纸电子版,报纸大全,电子报纸,手机报纸,数字报纸,报纸网,看报 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",110.200000,0.000000,2009-06-14,10:11:34
"来自 http://www.15525.com 的页面说:","MozillaDialogClass","Ohters",1.100000,0.000000,2009-06-14,10:11:35
"参考消息电子版-参考消息网络版-参考消息电子报纸 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",1.700000,0.000000,2009-06-14,10:11:37
"正在打开 sa.aspx","MozillaDialogClass","Ohters",0.000000,0.000000,2009-06-14,10:11:37
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",23.200000,0.000000,2009-06-14,10:12:03
"正在打开 sa.aspx","MozillaDialogClass","Ohters",1.600000,0.000000,2009-06-14,10:12:05
"参考消息电子版-参考消息网络版-参考消息电子报纸 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",73.800000,0.000000,2009-06-14,10:13:29
"","WorkerW","Ohters",1.300000,0.000000,2009-06-14,10:13:31
"打开文件 - 安全警告","#32770","对话框",1.100000,0.000000,2009-06-14,10:13:32
"","WorkerW","Ohters",5.700000,0.000000,2009-06-14,10:13:39
"","#32770","对话框",0.000000,0.000000,2009-06-14,10:13:39
"参考消息电子版-参考消息网络版-参考消息电子报纸 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",6.900000,0.000000,2009-06-14,10:13:52
"","#32770","对话框",0.000000,0.000000,2009-06-14,10:13:52
"","#32770","对话框",0.100000,0.000000,2009-06-14,10:13:54
"参考消息电子版-参考消息网络版-参考消息电子报纸 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",6.800000,0.000000,2009-06-14,10:14:02
"8点报阅读器 安装程序","Afx:400000:3:10011:1900015:335050b","Ohters",3.100000,0.000000,2009-06-14,10:14:05
"8点报阅读器 安装","Afx:400000:3:10011:6:335050b","Ohters",0.000000,0.000000,2009-06-14,10:14:05
"8点报阅读器 安装程序","Afx:400000:3:10011:1900015:335050b","Ohters",2.600000,0.000000,2009-06-14,10:14:09
"Google 阅读器 (886) - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",5.600000,0.000000,2009-06-14,10:14:20
"8点报阅读器 安装程序","Afx:400000:3:10011:1900015:335050b","Ohters",1.800000,0.000000,2009-06-14,10:14:25
"参考消息电子版-参考消息网络版-参考消息电子报纸 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",7.800000,0.000000,2009-06-14,10:14:34
"","#32770","对话框",0.100000,0.000000,2009-06-14,10:14:34
"","#32770","对话框",1.600000,0.000000,2009-06-14,10:14:41
"8点报阅读器 安装程序","Afx:400000:3:10011:1900015:335050b","Ohters",1.300000,0.000000,2009-06-14,10:14:44
"8点报阅读器 安装","Afx:400000:3:10011:6:335050b","Ohters",6.100000,0.000000,2009-06-14,10:14:53
"","#32770","对话框",0.000000,0.000000,2009-06-14,10:14:53
"","#32770","对话框",0.500000,0.000000,2009-06-14,10:14:57
"8点报阅读器 安装","Afx:400000:3:10011:6:335050b","Ohters",0.100000,0.000000,2009-06-14,10:14:58
"","#32770","对话框",2.900000,0.000000,2009-06-14,10:15:01
"iGoogle - 谷歌个性化首页 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",6.700000,0.000000,2009-06-14,10:15:11
"","Afx:400000:0","Ohters",0.000000,0.000000,2009-06-14,10:15:11
"天空软件站 - 软件分类 - 网络软件 - 新闻阅读 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",1.600000,0.000000,2009-06-14,10:15:13
"","#32770","对话框",0.000000,0.000000,2009-06-14,10:15:13
"8DBMang Reader","TMainForm","Ohters",0.900000,0.000000,2009-06-14,10:15:17
"天空软件站 - 软件分类 - 网络软件 - 新闻阅读 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",1.500000,0.000000,2009-06-14,10:15:19
"下载","MozillaUIWindowClass","Beyond Compare",4.700000,0.000000,2009-06-14,10:15:25
"8DBMang Reader","TMainForm","Ohters",6.100000,0.000000,2009-06-14,10:15:31
"参考消息电子版-参考消息网络版-参考消息电子报纸 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",18.800000,0.000000,2009-06-14,10:15:53
"8DBMang Reader","TMainForm","Ohters",2.500000,0.000000,2009-06-14,10:15:55
"我的刊物","TForm2","Ohters",3.400000,0.000000,2009-06-14,10:15:59
"8DBMang Reader","TMainForm","Ohters",0.600000,0.000000,2009-06-14,10:16:00
"系统设置","TForm3","Ohters",11.400000,0.000000,2009-06-14,10:16:13
"8DBMang Reader","TMainForm","Ohters",5.700000,0.000000,2009-06-14,10:16:19
"Google 阅读器 (886) - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",2.700000,0.000000,2009-06-14,10:16:22
"来自 http://www.15525.com 的页面说:","MozillaDialogClass","Ohters",1.400000,0.000000,2009-06-14,10:16:24
"参考消息电子版-参考消息网络版-参考消息电子报纸 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",1.300000,0.000000,2009-06-14,10:16:25
"正在打开 8DBSetup.exe","MozillaDialogClass","Ohters",1.700000,0.000000,2009-06-14,10:16:27
"参考消息电子版-参考消息网络版-参考消息电子报纸 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",7.000000,0.000000,2009-06-14,10:16:35
"8DBMang Reader","TMainForm","Ohters",1.900000,0.000000,2009-06-14,10:16:37
"系统设置","TForm4","Ohters",17.000000,0.000000,2009-06-14,10:16:56
"8DBMang Reader","TMainForm","Ohters",3.700000,0.000000,2009-06-14,10:17:00
"参考消息电子版-参考消息网络版-参考消息电子报纸 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",24.000000,0.000000,2009-06-14,10:17:27
"8DBMang Reader","TMainForm","Ohters",4.100000,0.000000,2009-06-14,10:17:32
"天空软件站 - 软件分类 - 网络软件 - 新闻阅读 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",98.400000,0.000000,2009-06-14,10:19:21
"8DBMang Reader","TMainForm","Ohters",4.900000,0.000000,2009-06-14,10:19:26
"Google 阅读器 (886) - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",84.600000,0.000000,2009-06-14,10:21:00
"8DBMang Reader","TMainForm","Ohters",2.700000,0.000000,2009-06-14,10:21:03
"","Shell_TrayWnd","Ohters",0.300000,0.000000,2009-06-14,10:21:03
"Google 阅读器 (886) - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",1.900000,0.000000,2009-06-14,10:21:05
"8DBMang Reader","TMainForm","Ohters",3.300000,0.000000,2009-06-14,10:21:09
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",2.400000,0.000000,2009-06-14,10:21:12
"8DBMang Reader","TMainForm","Ohters",1.100000,0.000000,2009-06-14,10:21:13
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",52.000000,0.000000,2009-06-14,10:22:12
"正在打开 sa.aspx","MozillaDialogClass","Ohters",3.400000,0.000000,2009-06-14,10:22:15
"Google 阅读器 (885) - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",101.400000,0.000000,2009-06-14,10:24:07
"8DBMang Reader","TMainForm","Ohters",2.700000,0.000000,2009-06-14,10:24:10
"8db","TApplication","Ohters",0.100000,0.000000,2009-06-14,10:24:11
"8点报,报纸,中国报纸,全国报纸电子版,报纸大全,电子报纸,手机报纸,数字报纸,报纸网,看报 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",13.400000,0.000000,2009-06-14,10:24:26
"","WebThunderMessageWindow","Ohters",1.000000,0.000000,2009-06-14,10:24:28
"Program Manager","Progman","Ohters",2.900000,0.000000,2009-06-14,10:24:31
"","Shell_TrayWnd","Ohters",0.100000,0.000000,2009-06-14,10:24:31
"「开始」菜单","DV2ControlHost","Ohters",2.600000,0.000000,2009-06-14,10:24:34
"","Shell_TrayWnd","Ohters",3.600000,0.000000,2009-06-14,10:24:38
"","#32770","对话框",0.000000,0.000000,2009-06-14,10:24:39
"","#32770","对话框",2.500000,0.000000,2009-06-14,10:24:42
"8DBMang Reader","TMainForm","Ohters",6.200000,0.000000,2009-06-14,10:24:50
"「开始」菜单","DV2ControlHost","Ohters",0.800000,0.000000,2009-06-14,10:24:51
"","Shell_TrayWnd","Ohters",2.600000,0.000000,2009-06-14,10:24:54
"确认快捷方式删除","#32770","对话框",0.700000,0.000000,2009-06-14,10:24:55
"","Shell_TrayWnd","Ohters",0.000000,0.000000,2009-06-14,10:24:55
"正在删除...","#32770","对话框",0.300000,0.000000,2009-06-14,10:24:56
"","Shell_TrayWnd","Ohters",0.800000,0.000000,2009-06-14,10:24:57
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",9.800000,0.000000,2009-06-14,10:25:08
"8DBMang Reader","TMainForm","Ohters",4.400000,0.000000,2009-06-14,10:25:13
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",8.400000,0.000000,2009-06-14,10:25:22
"","Shell_TrayWnd","Ohters",3.100000,0.000000,2009-06-14,10:25:25
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",20.500000,0.000000,2009-06-14,10:25:49
"8DBMang Reader","TMainForm","Ohters",2.700000,0.000000,2009-06-14,10:25:52
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",16.100000,0.000000,2009-06-14,10:26:10
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",10.200000,0.000000,2009-06-14,10:26:21
"8DBMang Reader","TMainForm","Ohters",1.900000,0.000000,2009-06-14,10:26:23
"八阕 · 广角新闻 · 文　史：【海边的豪宅——记魏京生（图）】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",12.000000,0.000000,2009-06-14,10:26:37
"8DBMang Reader","TMainForm","Ohters",5.200000,0.000000,2009-06-14,10:26:42
"八阕 · 广角新闻 · 文　史：【海边的豪宅——记魏京生（图）】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",2.000000,0.000000,2009-06-14,10:26:45
"运行","#32770","对话框",2.300000,0.000000,2009-06-14,10:26:47
"Program Manager","Progman","Ohters",0.100000,0.000000,2009-06-14,10:26:48
"Data (D:)","CabinetWClass","资源管理器",15.400000,0.000000,2009-06-14,10:27:10
"八阕 · 广角新闻 · 国　际：【中国该对俄罗斯说不】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",9.100000,0.000000,2009-06-14,10:27:20
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",2.700000,0.000000,2009-06-14,10:27:23
"八阕 · 广角新闻 · 国　际：【中国该对俄罗斯说不】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",5.100000,0.000000,2009-06-14,10:27:29
"管理项目 - ScrapBook","MozillaUIWindowClass","Beyond Compare",3.700000,0.000000,2009-06-14,10:27:33
"Data (D:)","CabinetWClass","资源管理器",6.500000,0.000000,2009-06-14,10:27:41
"八阕 · 广角新闻 · 国　际：【中国该对俄罗斯说不】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",12.300000,0.000000,2009-06-14,10:27:55
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.800000,0.000000,2009-06-14,10:27:56
"八阕 · 广角新闻 · 国　际：【中国该对俄罗斯说不】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",4.400000,0.000000,2009-06-14,10:28:01
